ComInsee,"ComLib",EquipementId,EquNbEquIdentique,ActCode,"ActLib","EquActivitePraticable","EquActivitePratique","EquActiviteSalleSpe","ActNivLib"
44001,"Abbaretz",69849,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Compétition départementale"
44001,"Abbaretz",129515,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Compétition départementale"
44001,"Abbaretz",197752,1,2204,"Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial","Oui","Non","Non",
44001,"Abbaretz",197752,1,6201,"Randonnée pédestre","Oui","Non","Non","Loisir - Entretien - Remise en forme"
44001,"Abbaretz",247310,1,6902,"Ski nautique classique / Course / à figures libres / nupieds / Kneeboard / Wake-board","Oui","Oui","Non","Compétition régionale"
44001,"Abbaretz",247310,1,2804,"Plongée subaquatique (Plongée libre)","Oui","Oui","Non","Entrainement"
44001,"Abbaretz",287645,2,7901,"Tennis","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44001,"Abbaretz",287645,2,1101,"Basket-Ball","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44001,"Abbaretz",312133,1,2001,"Course d'orientation - Vtt","Oui","Oui","Non","Compétition départementale"
44001,"Abbaretz",312133,1,2002,"Course d'orientation - Pédestre","Oui","Oui","Non","Compétition départementale"
44001,"Abbaretz",312136,1,2204,"Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial","Oui","Oui","Non","Entrainement"
44001,"Abbaretz",312136,1,6201,"Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44001,"Abbaretz",343672,1,6001,"Pétanque et jeu provencal","Oui","Non","Non","Loisir - Entretien - Remise en forme"
44001,"Abbaretz",343679,1,8901,"Activités de forme et de santé","Oui","Oui","Non","Scolaire"
44001,"Abbaretz",343682,1,701,"Badminton, Jeu de volant","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44001,"Abbaretz",343682,1,3404,"Expression gymnique","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44001,"Abbaretz",343682,1,2402,"Autres Danses","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44001,"Abbaretz",343682,1,8901,"Activités de forme et de santé","Oui","Oui","Non","Scolaire"
44001,"Abbaretz",344268,2,6001,"Pétanque et jeu provencal","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44001,"Abbaretz",344269,1,5501,"Pêche au coup en eau douce","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",68587,1,8001,"Tennis de table","Oui","Oui","Non","Compétition départementale"
44002,"Aigrefeuille-sur-Maine",68587,1,2501,"Echecs","Oui","Oui","Oui","Compétition nationale"
44002,"Aigrefeuille-sur-Maine",68588,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Compétition départementale"
44002,"Aigrefeuille-sur-Maine",68589,1,7204,"Boules traditionnelles","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",68590,2,7901,"Tennis","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",68591,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Compétition départementale"
44002,"Aigrefeuille-sur-Maine",68591,1,6401,"Rugby à 15 / Rugby à 7","Oui","Oui","Non","Scolaire"
44002,"Aigrefeuille-sur-Maine",129760,1,1101,"Basket-Ball","Oui","Oui","Non","Compétition départementale"
44002,"Aigrefeuille-sur-Maine",129760,1,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Scolaire"
44002,"Aigrefeuille-sur-Maine",129760,1,8801,"Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley","Oui","Oui","Non","Compétition départementale"
44002,"Aigrefeuille-sur-Maine",129760,1,701,"Badminton, Jeu de volant","Oui","Oui","Non","Compétition départementale"
44002,"Aigrefeuille-sur-Maine",129760,1,7901,"Tennis","Oui","Oui","Non","Compétition départementale"
44002,"Aigrefeuille-sur-Maine",129785,1,4701,"Lutte traditionnelle / olympique libre / olympique gréco-romaine /  bretonne / féminine","Oui","Oui","Non","Compétition nationale"
44002,"Aigrefeuille-sur-Maine",129785,1,8901,"Activités de forme et de santé","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
